Ссылка на сайт поставщика/вендора,Ситилинк - Полное Наименование,PartNumber/Артикул Производителя,Бренд,Группа товаров,Модель,Код Товара
https://digma.ru/catalog/item/21988?item=1828656,"Ноутбук Digma Pro Sprint M DN15R5-8CXW02, 15.6"", IPS, AMD Ryzen 5 3500U 2.1ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  RX Vega 8, Windows 11 Professional, серый",DN15R5-8CXW02,DIGMA,Ноутбуки,Sprint M,1828656
https://digma.ru/catalog/item/21988?item=1828658,"Ноутбук Digma Pro Sprint M DN16R3-8CXW01, 16.1"", IPS, AMD Ryzen 3 3250U 2.6ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  RX Vega 3, Windows 11 Professional, серебристый",DN16R3-8CXW01,DIGMA,Ноутбуки,Sprint M,1828658
https://digma.ru/catalog/item/21988?item=1828659,"Ноутбук Digma Pro Sprint M DN16R5-ADXW01, 16.1"", IPS, AMD Ryzen 5 3500U 2.1ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD,  AMD Radeon  RX Vega 8, Windows 11 Professional, серебристый",DN16R5-ADXW01,DIGMA,Ноутбуки,Sprint M,1828659
https://digma.ru/catalog/item/21989?item=1828660,"Ноутбук Digma Pro Magnus M DN16R5-ADXW02, 16.1"", IPS, AMD Ryzen 5 5600U 2.3ГГц, 6-ядерный, 16ГБ DDR4, 512ГБ SSD,  AMD Radeon  RX Vega 7, Windows 11 Professional, темно-серый",DN16R5-ADXW02,DIGMA,Ноутбуки,Magnus M,1828660
https://digma.ru/catalog/item/21989?item=1828663,"Ноутбук Digma Pro Magnus M DN16R7-ADXW01, 16.1"", IPS, AMD Ryzen 7 5800H 3.2ГГц, 8-ядерный, 16ГБ DDR4, 512ГБ SSD,  AMD Radeon  RX Vega 8, Windows 11 Professional, темно-серый",DN16R7-ADXW01,DIGMA,Ноутбуки,Magnus M,1828663
https://digma.ru/catalog/item/21989?item=1828664,"Ноутбук Digma Pro Magnus M DN16R9-ADXW01, 16.1"", IPS, AMD Ryzen 9 5900HX 3.3ГГц, 8-ядерный, 16ГБ DDR4, 512ГБ SSD,  AMD Radeon  RX Vega 8, Windows 11 Professional, темно-серый",DN16R9-ADXW01,DIGMA,Ноутбуки,Magnus M,1828664
https://digma.ru/catalog/item/21988?item=1828665,"Ноутбук Digma Pro Sprint M DN15P3-8CXW02, 15.6"", 2023, IPS, Intel Core i3 1115G4 3.0ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, темно-серый",DN15P3-8CXW02,DIGMA,Ноутбуки,Sprint M,1828665
"https://digma.ru/catalog/item/21988?item=1828665_x000D_
","Ноутбук Digma Pro Sprint M DN15P5-8DXW02, 15.6"", 2023, IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ DDR4, 512ГБ SSD,  Intel Iris Xe graphics, Windows 11 Professional, темно-серый",DN15P5-8DXW02,DIGMA,Ноутбуки,Sprint M,1828666
https://digma.ru/catalog/item/21988?item=1828667,"Ноутбук Digma Pro Sprint M DN15P5-ADXW02, 15.6"", 2023, IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD,  Intel Iris Xe graphics, Windows 11 Professional, темно-серый",DN15P5-ADXW02,DIGMA,Ноутбуки,Sprint M,1828667
"https://digma.ru/catalog/item/21988?item=1828665_x000D_
","Ноутбук Digma Pro Sprint M DN15P7-ADXW02, 15.6"", IPS, Intel Core i7 10710U 1.1ГГц, 6-ядерный, 16ГБ DDR4, 512ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, синий",DN15P7-ADXW02,DIGMA,Ноутбуки,Sprint M,1828668
https://www.gigabyte.com/ru/Laptop/AORUS-15--Intel-12th-Gen/sp#sp,"Ноутбук игровой GIGABYTE Aorus 15 XE5 MO1-M80014-2, 15.6"", Intel Core i7 12700H 2.3ГГц, 14-ядерный, 16ГБ DDR5, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Free DOS, черный",MO1-M80014-2,GIGABYTE,Ноутбуки,15 XE5,1840687
https://www.gigabyte.com/ru/Laptop/AERO-5--Intel-12th-Gen/sp#sp,"Ноутбук игровой GIGABYTE Aero 5 MO3-M80016-1, 15.6"", Intel Core i7 12700H 2.3ГГц, 14-ядерный, 16ГБ DDR4, 1ТБ SSD,  NVIDIA GeForce  RTX 3060 для ноутбуков - 6 ГБ, Windows 11 Home, черный",MO3-M80016-1,GIGABYTE,Ноутбуки,нет,1840689
https://www.gigabyte.com/Laptop/AORUS-15--Intel-12th-Gen/sp#sp,"Ноутбук игровой GIGABYTE Aorus 15 XE5 XE5-73RU544UH, 15.6"", IPS, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 32ГБ DDR5, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Windows 11 Home, черный",XE5-73RU544UH,GIGABYTE,Ноутбуки,XE5,1860014
https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_15ADA05?M=81W1017RRE,"Ноутбук Lenovo IdeaPad 3 15ADA05 81W1017RRE, 15.6"", IPS, AMD Ryzen 3 3250U 2.6ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon, Free DOS, серый",81W1017RRE,LENOVO,Ноутбуки,15ADA05,1861256
https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_L3_15ITL6?M=82HL0081RE,"Ноутбук Lenovo IdeaPad L3 15ITL6 82HL0081RE, 15.6"", IPS, Intel Core i3 1115G4 3ГГц, 2-ядерный, 4ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, без операционной системы, серый",82HL0081RE,LENOVO,Ноутбуки,L3 15ITL6,1861274
https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_15ALC6?M=82KU00G2RE,"Ноутбук Lenovo IdeaPad 3 15ALC6 82KU00G2RE, 15.6"", IPS, AMD Ryzen 3 5300U 2.6ГГц, 4-ядерный, 8ГБ DDR4, 512ГБ SSD,  AMD Radeon, без операционной системы, серый",82KU00G2RE,LENOVO,Ноутбуки,15ALC6,1861279
https://psref.lenovo.com/Detail/Legion/Legion_7_16IAX7?M=82TD009LRK,"Ноутбук игровой Lenovo Legion 7 16IAX7 82TD009LRK, 16"", IPS, Intel Core i7 12800HX 2ГГц, 16-ядерный, 32ГБ DDR5, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, без операционной системы, се",82TD009LRK,LENOVO,Ноутбуки,16IAX7,1887080
https://server.rikor.com/katalog/noutbuki2/,"Ноутбук RIKOR ME-1554.2 ME-1554, 15.6"", IPS, AMD Ryzen 3 5425U 2.7ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  Vega 6, без операционной системы, черный",ME-1554,RIKOR,Ноутбуки,ME-1554.2,1893019
https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_3_14ADA05?M=81W000VKRU,"Ноутбук Lenovo IdeaPad 3 14ADA05 81W000VKRU, 14"", TN, AMD Ryzen 5 3500U 2.1ГГц, 4-ядерный, 8ГБ DDR4, 512ГБ SSD,  AMD Radeon  Vega 8, Windows 11 Home, синий",81W000VKRU,LENOVO,Ноутбуки,14ADA05,1893704
https://psref.lenovo.com/Detail/ThinkPad/ThinkPad_P15_Gen_2?M=20YQ001HRT,"Ноутбук Lenovo ThinkPad P15 G2 20YQ001HRT, 15.6"", IPS, Intel Core i7 11800H 2.3ГГц, 8-ядерный, 32ГБ DDR4, 1ТБ SSD,  NVIDIA  RTX A2000 MAX-P - 4 ГБ, Windows 10 Professional, черный",20YQ001HRT,LENOVO,Ноутбуки,P15 G2,1895522
"https://3logic.ru/catalog/noutbuki/gigabyte/noutbuk-gigabyte-aorus-15-xe5-nb-rx5pxe5-ru-fhd-i7-12700h-xe5-73ru543uh-109591/_x000D_
","Ноутбук игровой GIGABYTE Aorus 15 XE5 XE5-73RU543UH, 15.6"", IPS, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 32ГБ DDR5, 512ГБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Windows 11 Home, черн",XE5-73RU543UH,GIGABYTE,Ноутбуки,XE5,1898787
https://3logic.ru/products/?I=110898,"Ноутбук Lenovo ThinkPad L13 Gen 3 21BAS16N00, 13.3"", IPS, AMD Ryzen 5 Pro 5675U 2.3ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  RX Vega 7, Windows 11 Professional, черный",21BAS16N00,LENOVO,Ноутбуки,L13 Gen 3,1903363
https://3logic.ru/products/?I=110897,"Ноутбук Lenovo ThinkPad L13 Gen 3 21BAS16P00, 13.3"", IPS, AMD Ryzen 5 Pro 5675U 2.3ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD,  AMD Radeon  RX Vega 7, Windows 11 Professional, черный",21BAS16P00,LENOVO,Ноутбуки,L13 Gen 3,1903364
https://3logic.ru/products/?I=110903,"Ноутбук Lenovo ThinkPad T14 G2 20W1SG6P00, 14"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, черный",20W1SG6P00,LENOVO,Ноутбуки,T14 G2,1903375
https://3logic.ru/products/?I=110904,"Ноутбук Lenovo ThinkPad T14 Gen 2 20W1SG6R00, 14"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ DDR4, 512ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, черный",20W1SG6R00,LENOVO,Ноутбуки,T14 Gen 2,1903377
https://3logic.ru/products/?I=110908,"Ноутбук Lenovo ThinkPad T14 Gen 2 20W1SG6S00, 14"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD,  NVIDIA GeForce  MX450 - 2 ГБ, Windows 11 Professional, черный",20W1SG6S00,LENOVO,Ноутбуки,T14 Gen 2,1903378
https://3logic.ru/products/?I=110906,"Ноутбук Lenovo ThinkPad T14 Gen 2 20W1SG6T00, 14"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 16ГБ DDR4, 512ГБ SSD,  Intel UHD Graphics, Windows 11 Professional, черный",20W1SG6T00,LENOVO,Ноутбуки,T14 Gen 2,1903379
https://3logic.ru/products/?I=111276,"Ноутбук Lenovo V15 G3 IAP 82TT001HRU, 15.6"", TN, Intel Core i5 1235U 1.3ГГц, 10-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, без операционной системы, черный",82TT001HRU,LENOVO,Ноутбуки,G3 IAP,1903380
https://3logic.ru/products/?I=111275,"Ноутбук Lenovo V15 G3 IAP 82TT001MRU, 15.6"", TN, Intel Core i3 1215U 1.2ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, без операционной системы, черный",82TT001MRU,LENOVO,Ноутбуки,G3 IAP,1903381
https://3logic.ru/catalog/noutbuki/gigabyte/aero-16-aero-16-xe4-73ru914jpnb-rp86xe4-ru-uhd-i7-12700h-108784/,"Ноутбук игровой GIGABYTE Aero 16 XE4-73RU914JP XE4-73RU914JP, 16"", AMOLED, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 16ГБ DDR4, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Windows 11 Pr",XE4-73RU914JP,GIGABYTE,Ноутбуки,XE4-73RU914JP,1903749
https://3logic.ru/catalog/noutbuki/gigabyte/aero-16-aero-16-xe5-73ru944jpnb-rp86xe5-ru-uhd-i7-12700h-108785/,"Ноутбук игровой GIGABYTE Aero 16 XE5-73RU944JP XE5-73RU944JP, 16"", AMOLED, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 32ГБ DDR5, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Windows 11 Pr",XE5-73RU944JP,GIGABYTE,Ноутбуки,XE5-73RU944JP,1903750
https://www.hp.com/ua-uk/products/laptops/product-details/product-specifications/2101336483,"Ноутбук HP 250 G9 6F1Z7EA, 15.6"", SVA, Intel Core i3 1215U 1.2ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, Free DOS, темно-серебристый",6F1Z7EA,HP,Ноутбуки,250 G9,1907620
https://www.hp.com/ua-uk/products/laptops/product-details/product-specifications/2101336483,"Ноутбук HP 250 G9 6S7B5EA, 15.6"", SVA, Intel Core i5 1235U 1.3ГГц, 10-ядерный, 8ГБ DDR4, 512ГБ SSD,  Intel Iris Xe graphics, Free DOS, темно-серебристый",6S7B5EA,HP,Ноутбуки,250 G9,1907735
https://www.apple.com/macbook-air-m2/specs/,"Ноутбук Apple MacBook Air A2681 MLY33ZP/A, 13.6"", IPS, Apple M2 8 core 3.2ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, полночный",MLY33ZP/A,APPLE,Ноутбуки,A2681,1914928
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2681 MLXX3LL/A, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 512ГБ SSD,  Mac OS, серый космос",MLXX3LL/A,APPLE,Ноутбуки,A2681,1914933
https://www.apple.com/ru/macbook-air/specs/,"Ноутбук Apple MacBook Air A2337 MGN63SA/A, 13.3"", IPS, Apple M1 8 core 3.2ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",MGN63SA/A,APPLE,Ноутбуки,A2337,1914954
https://www.apple.com/macbook-pro-14-and-16/specs/,"Ноутбук Apple MacBook Pro A2780 MNW83LL/A, 16.2"", 2023, Retina XDR, Apple M2 Pro 12 core 3.5ГГц, 12-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",MNW83LL/A,APPLE,Ноутбуки,A2780,1921953
https://www.apple.com/macbook-pro-14-and-16/specs/,"Ноутбук Apple MacBook Pro A2780 MNW83RU/A, 16.2"", 2023, Retina XDR, Apple M2 Pro 12 core 3.5ГГц, 12-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",MNW83RU/A,APPLE,Ноутбуки,A2780,1924529
https://www.apple.com/macbook-pro-14-and-16/specs/,"Ноутбук Apple MacBook Pro A2779 MPHE3RU/A, 14.2"", 2023, Retina XDR, Apple M2 Pro 10 core 10-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",MPHE3RU/A,APPLE,Ноутбуки,A2779,1924572
https://www.apple.com/macbook-air-m2/specs/,"Ноутбук Apple MacBook Air A2681 MLY33/Z160000D9, 13.6"", Retina, Apple M2 8 core 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, полночный",MLY33/Z160000D9,APPLE,Ноутбуки,A2681,1924857
https://www.apple.com/macbook-air-m2/specs/,"Ноутбук Apple MacBook Air A2681 MLY13/Z15Y000D9, 13.6"", Retina, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, белый",MLY13/Z15Y000D9,APPLE,Ноутбуки,A2681,1924867
https://www.apple.com/macbook-air-m2/specs/,"Ноутбук Apple MacBook Air A2681 MLXW3/Z15S000F7, 13.6"", Retina, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",MLXW3/Z15S000F7,APPLE,Ноутбуки,A2681,1924873
https://www.apple.com/macbook-pro-14-and-16/specs/,"Ноутбук Apple MacBook Pro A2779 MPHE3PA/A, 14.2"", 2023, Retina XDR, Apple M2 Pro 10 core 10-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",MPHE3PA/A,APPLE,Ноутбуки,A2779,1928979
https://www.apple.com/ru/macbook-air/specs/,"Ноутбук Apple MacBook Air A2337 MGN63PA/A, 13.3"", IPS, Apple M1 8 core 3.2ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",MGN63PA/A,APPLE,Ноутбуки,A2337,1928981
https://www.aq.ru/product/aquarius-cmp-ns685/,"Ноутбук AQUARIUS CMP NS685U (Исп.4) NS685152018S125SCN2TNNNN2, 15.6"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ 256ГБ SSD,  Intel UHD Graphics, Linux Astra Special Edition, черный",NS685152018S125SCN2TNNNN2,AQUARIUS,Ноутбуки,CMP NS685U (Исп.4),1934004
https://www.apple.com/macbook-pro-14-and-16/specs/,"Ноутбук Apple MacBook Pro A2779 MPHE3LL/A, 14.2"", 2023, Retina XDR, Apple M2 Pro 10 core 10-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",MPHE3LL/A,APPLE,Ноутбуки,A2779,1934863
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2681 Z1600000L, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 512ГБ SSD,  Mac OS, полночный",Z1600000L,APPLE,Ноутбуки,A2681,1937849
https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_1_15IGL7?M=82V700BPUE,"Ноутбук Lenovo IdeaPad 1 15IGL7 82V700BPUE, 15.6"", 2023, TN, Intel Celeron N4020 1.1ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics  600, без операционной системы, серый",82V700BPUE,LENOVO,Ноутбуки,15IGL7,1938361
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2941 MQKP3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",MQKP3ZS/A,APPLE,Ноутбуки,A2941,1938428
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2941 MQKQ3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 512ГБ SSD,  Mac OS, серый космос",MQKQ3ZS/A,APPLE,Ноутбуки,A2941,1938463
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2941 MQKU3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, белый",MQKU3ZS/A,APPLE,Ноутбуки,A2941,1938464
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2941 MQKV3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 512ГБ SSD,  Mac OS, белый",MQKV3ZS/A,APPLE,Ноутбуки,A2941,1938465
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2941 MQKW3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, полночный",MQKW3ZS/A,APPLE,Ноутбуки,A2941,1938466
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2941 MQKX3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 512ГБ SSD,  Mac OS, полночный",MQKX3ZS/A,APPLE,Ноутбуки,A2941,1938467
https://www.apple.com/macbook-pro-14-and-16/specs/,"Ноутбук Apple MacBook Pro A2780 Z1740000E, 16.2"", 2023, Retina XDR, Apple M2 Pro 12 core 3.49ГГц, 12-ядерный, 32ГБ 512ГБ SSD,  Mac OS, серый космос",Z1740000E,APPLE,Ноутбуки,A2780,1939098
https://www.apple.com/macbook-pro-14-and-16/specs/,"Ноутбук Apple MacBook Pro A2779 Z17G0000F, 14.2"", 2023, Retina XDR, Apple M2 Pro 10 core 3.49ГГц, 10-ядерный, 32ГБ 512ГБ SSD,  Mac OS, серый космос",Z17G0000F,APPLE,Ноутбуки,A2779,1939102
https://www.apple.com/macbook-pro-14-and-16/specs/,"Ноутбук Apple MacBook Pro A2779 Z17G0001E, 14.2"", 2023, Retina XDR, Apple M2 Pro 12 core 3.49ГГц, 12-ядерный, 32ГБ 512ГБ SSD,  Mac OS, серый космос",Z17G0001E,APPLE,Ноутбуки,A2779,1939104
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2681 Z15S0000B, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 256ГБ SSD,  Mac OS, серый космос",Z15S0000B,APPLE,Ноутбуки,A2681,1939602
https://www.apple.com/macbook-air-13-and-15-m2/specs/,"Ноутбук Apple MacBook Air A2681 Z15S0000P, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",Z15S0000P,APPLE,Ноутбуки,A2681,1939605
